"STATEFIPS","zipcode","agi_stub_weighted_median","total_beneficiaries","total_services","Place_Of_Srvc","Place_Of_Srvc_binary"
"26","49345",3,3823,6096,"O",0
"26","49346",3,581,882,"O",0
"26","49347",2,103,325,"O",0
"26","49348",3,2043,14231.8,"O",0
"26","49349",2,1729,2013,"O",0
"26","49401",3,1560,2444,"O",0
"26","49403",3,618,1621,"O",0
"26","49404",3,1714,2112,"O",0
"26","49411",3,54,357,"O",0
"26","49412",3,6812,9351,"F",1
"26","49415",3,2376,14539,"O",0
"26","49417",3,25231,51598,"O",0
"26","49418",3,22776,41337,"O",0
"26","49419",4,51,461,"O",0
"26","49420",2,1688,12915,"O",0
"26","49421",2,160,883,"O",0
"26","49423",3,62509,89350,"F",1
"26","49424",3,41164,109777,"O",0
"26","49426",4,4935,10098,"O",0
"26","49428",4,4135,7408,"O",0
"26","49431",3,32979,53102,"O",0
"26","49436",2,30,268,"O",0
"26","49437",3,1416,9097,"O",0
"26","49440",2,5750,6024,"F",1
"26","49441",2,12608,26485,"O",0
"26","49442",2,44799,116121.7,"F",1
"26","49444",2,125442,331443,"O",0
"26","49445",3,12313,24296.9,"O",0
"26","49446",3,118,136,"O",0
"26","49450",2,11,11,"O",0
"26","49451",3,939,1649,"O",0
"26","49453",4,114,557,"O",0
"26","49454",2,1004,3655,"O",0
"26","49455",2,1843,2366,"O",0
"26","49456",4,4645,15631,"O",0
"26","49460",4,378,499,"O",0
"26","49461",3,1995,3573,"O",0
"26","49464",4,7324,11851,"O",0
"26","49503",2,311319,1160882.3,"F",1
"26","49504",2,15914,45609,"O",0
"26","49505",2,3853,7155,"O",0
"26","49506",4,37615,141029.8,"O",0
"26","49507",2,1023,6202,"O",0
"26","49508",2,15241,38784,"O",0
"26","49509",2,6566,15694,"O",0
"26","49512",3,7186,36763.5,"O",0
"26","49519",2,85248,136559,"F",1
"26","49525",4,385963,764481,"F",1
"26","49534",3,4921,10222,"O",0
"26","49544",3,6328,10315,"O",0
"26","49546",4,184647,515704.9,"O",0
